protein,species_key,condition_records,observed_records,structure_observed_rate,species_label,chemistry_class
lysozyme,nitrate,82,66,0.8048780487804879,$\mathrm{NO_3^-}$,Anions
lysozyme,sulfate,71,36,0.5070422535211268,$\mathrm{SO_4^{2-}}$,Anions
lysozyme,chloride,401,232,0.5785536159600998,$\mathrm{Cl^-}$,Anions
lysozyme,acetate,852,125,0.1467136150234742,Acetate,Anions
lysozyme,citrate,66,4,0.06060606060606061,Citrate,Anions
lysozyme,phosphate,231,60,0.2597402597402597,Phosphate,Anions
lysozyme,zinc,3,0,0.0,$\mathrm{Zn^{2+}}$,Metal/cations
lysozyme,calcium,19,8,0.42105263157894735,$\mathrm{Ca^{2+}}$,Metal/cations
lysozyme,magnesium,28,6,0.21428571428571427,$\mathrm{Mg^{2+}}$,Metal/cations
lysozyme,sodium,1347,744,0.5523385300668151,$\mathrm{Na^+}$,Metal/cations
lysozyme,ethylene glycol,134,91,0.6791044776119403,Ethylene glycol,Small neutral additives
lysozyme,glycerol,103,12,0.11650485436893204,Glycerol,Small neutral additives
lysozyme,mpd,34,8,0.23529411764705882,MPD,Small neutral additives
lysozyme,peg,423,0,0.0,PEG,PEG and IL/DES
lysozyme,IL/DES,3,0,0.0,IL/DES,PEG and IL/DES
ribonuclease,nitrate,4,0,0.0,$\mathrm{NO_3^-}$,Anions
ribonuclease,sulfate,284,171,0.602112676056338,$\mathrm{SO_4^{2-}}$,Anions
ribonuclease,chloride,124,36,0.2903225806451613,$\mathrm{Cl^-}$,Anions
ribonuclease,acetate,175,16,0.09142857142857143,Acetate,Anions
ribonuclease,citrate,196,16,0.08163265306122448,Citrate,Anions
ribonuclease,phosphate,51,17,0.3333333333333333,Phosphate,Anions
ribonuclease,zinc,6,5,0.8333333333333334,$\mathrm{Zn^{2+}}$,Metal/cations
ribonuclease,calcium,101,42,0.4158415841584158,$\mathrm{Ca^{2+}}$,Metal/cations
ribonuclease,magnesium,177,82,0.4632768361581921,$\mathrm{Mg^{2+}}$,Metal/cations
ribonuclease,sodium,416,18,0.04326923076923077,$\mathrm{Na^+}$,Metal/cations
ribonuclease,ethylene glycol,18,8,0.4444444444444444,Ethylene glycol,Small neutral additives
ribonuclease,glycerol,104,64,0.6153846153846154,Glycerol,Small neutral additives
ribonuclease,mpd,55,2,0.03636363636363636,MPD,Small neutral additives
ribonuclease,peg,486,0,0.0,PEG,PEG and IL/DES
ribonuclease,IL/DES,0,0,,IL/DES,PEG and IL/DES
trypsin,nitrate,0,0,,$\mathrm{NO_3^-}$,Anions
trypsin,sulfate,316,192,0.6075949367088608,$\mathrm{SO_4^{2-}}$,Anions
trypsin,chloride,48,4,0.08333333333333333,$\mathrm{Cl^-}$,Anions
trypsin,acetate,50,6,0.12,Acetate,Anions
trypsin,citrate,46,4,0.08695652173913043,Citrate,Anions
trypsin,phosphate,40,0,0.0,Phosphate,Anions
trypsin,zinc,4,3,0.75,$\mathrm{Zn^{2+}}$,Metal/cations
trypsin,calcium,126,122,0.9682539682539683,$\mathrm{Ca^{2+}}$,Metal/cations
trypsin,magnesium,89,21,0.23595505617977527,$\mathrm{Mg^{2+}}$,Metal/cations
trypsin,sodium,126,12,0.09523809523809523,$\mathrm{Na^+}$,Metal/cations
trypsin,ethylene glycol,16,7,0.4375,Ethylene glycol,Small neutral additives
trypsin,glycerol,20,15,0.75,Glycerol,Small neutral additives
trypsin,mpd,12,4,0.3333333333333333,MPD,Small neutral additives
trypsin,peg,299,0,0.0,PEG,PEG and IL/DES
trypsin,IL/DES,0,0,,IL/DES,PEG and IL/DES
insulin,nitrate,1,1,1.0,$\mathrm{NO_3^-}$,Anions
insulin,sulfate,35,18,0.5142857142857142,$\mathrm{SO_4^{2-}}$,Anions
insulin,chloride,28,8,0.2857142857142857,$\mathrm{Cl^-}$,Anions
insulin,acetate,104,5,0.04807692307692308,Acetate,Anions
insulin,citrate,125,0,0.0,Citrate,Anions
insulin,phosphate,73,7,0.0958904109589041,Phosphate,Anions
insulin,zinc,69,60,0.8695652173913043,$\mathrm{Zn^{2+}}$,Metal/cations
insulin,calcium,12,3,0.25,$\mathrm{Ca^{2+}}$,Metal/cations
insulin,magnesium,42,6,0.14285714285714285,$\mathrm{Mg^{2+}}$,Metal/cations
insulin,sodium,236,16,0.06779661016949153,$\mathrm{Na^+}$,Metal/cations
insulin,ethylene glycol,10,0,0.0,Ethylene glycol,Small neutral additives
insulin,glycerol,35,2,0.05714285714285714,Glycerol,Small neutral additives
insulin,mpd,13,1,0.07692307692307693,MPD,Small neutral additives
insulin,peg,115,0,0.0,PEG,PEG and IL/DES
insulin,IL/DES,0,0,,IL/DES,PEG and IL/DES
proteinase k,nitrate,20,16,0.8,$\mathrm{NO_3^-}$,Anions
proteinase k,sulfate,94,87,0.925531914893617,$\mathrm{SO_4^{2-}}$,Anions
proteinase k,chloride,29,1,0.034482758620689655,$\mathrm{Cl^-}$,Anions
proteinase k,acetate,12,0,0.0,Acetate,Anions
proteinase k,citrate,8,0,0.0,Citrate,Anions
proteinase k,phosphate,0,0,,Phosphate,Anions
proteinase k,zinc,0,0,,$\mathrm{Zn^{2+}}$,Metal/cations
proteinase k,calcium,63,58,0.9206349206349206,$\mathrm{Ca^{2+}}$,Metal/cations
proteinase k,magnesium,1,0,0.0,$\mathrm{Mg^{2+}}$,Metal/cations
proteinase k,sodium,68,3,0.04411764705882353,$\mathrm{Na^+}$,Metal/cations
proteinase k,ethylene glycol,2,2,1.0,Ethylene glycol,Small neutral additives
proteinase k,glycerol,7,6,0.8571428571428571,Glycerol,Small neutral additives
proteinase k,mpd,0,0,,MPD,Small neutral additives
proteinase k,peg,7,0,0.0,PEG,PEG and IL/DES
proteinase k,IL/DES,0,0,,IL/DES,PEG and IL/DES
