feature_set,model,target,n_features,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_rows
combined,random_forest,solvent_content_percent,32,4.015822420882193,0.06603394432740696,6.708905294732631,0.23528923204426552,0.45524744601736433,0.05017306258236785,10084
combined,gradient_boosting,solvent_content_percent,32,5.4884150400581255,0.08227473662302841,7.878530081031282,0.060237176519081725,0.2508955313135935,0.01144345352606616,10084
combined,ridge,solvent_content_percent,32,6.080451857494013,0.0640469447879981,8.426180148689808,0.09907308369735718,0.14313536696095497,0.01686233508424483,10084
protein_and_species_only,random_forest,solvent_content_percent,2,5.998854611775126,0.04802261011520621,8.463008618682156,0.05832924180654228,0.135445529023718,0.02178518229791931,10084
protein_and_species_only,gradient_boosting,solvent_content_percent,2,6.159487962412615,0.06410918987031271,8.56846169000215,0.074575421054835,0.11401637004184939,0.009671536470907644,10084
protein_and_species_only,ridge,solvent_content_percent,2,6.286219922884597,0.05255702457546792,8.677090954639546,0.06398504536170652,0.09127969656523786,0.017358134559167206,10084
protein_only,ridge,solvent_content_percent,1,6.627130515412719,0.061307817042108734,9.022084780302704,0.0895010360026446,0.01779356840398268,0.004502808829888905,10084
protein_only,gradient_boosting,solvent_content_percent,1,6.62719156227453,0.0612902554666999,9.02209394663443,0.0894909131941091,0.01779153754697523,0.004505649844723268,10084
protein_only,random_forest,solvent_content_percent,1,6.628713852576617,0.06074405505166902,9.02286910679089,0.08951109604168676,0.01762295852444266,0.004468066577343598,10084
species_chemistry_only,random_forest,solvent_content_percent,31,4.374523162906695,0.04705110457656687,7.2248464049526016,0.08467940304838403,0.3701430643025378,0.005574510439832741,10084
species_chemistry_only,gradient_boosting,solvent_content_percent,31,5.672045465524899,0.1150089626690495,8.1546356591117,0.09619480335043784,0.19759968930141614,0.006801018123562136,10084
species_chemistry_only,ridge,solvent_content_percent,31,6.177140530755357,0.09976192706890218,8.6702351471002,0.11207691298272347,0.09297961232984875,0.0015578386434720343,10084
